NBI DATA - Western Washington,,,,,,,ADT parameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"move to left, filter by < than",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK FILTERS IN THESE CELLS,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
1,1,,85276000,#N/A,47.65473333,-122.3188556,0,1,0,53,8.5276E+13,1,5,1,1140,0,1,33,63000,'NE PACIFIC ST',,'EASTLAKE AVE NE','3800 Eastlake Ave',99.99,5.15,1,00EASTLAKE,0,47391704,122190788,3,3,4,4,14,1930,4,2,35000,2020,5,17.7,0,29,1,0,N,N,N,5,N,0,0,A,5,1,2,4,0,0,9,0,21.3,15.5,97.8,1.8,1.8,17.7,22.9,99.99,H,3.73,H,1.8,7.6,5,5,6,N,N,4,42.6,4,25.4,5,5,2,5,N,6,31,1,100.9,520,24,N  ,N  ,N  ,,,,8209,1642,16418,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,5,0,,Y,N,45000,2040,,N,53,F,5,2239.62
1,1,,85277000,#N/A,47.65277778,-122.3202778,0,1,0,53,8.5277E+13,1,5,1,1140,0,1,33,63000,'NE 40TH ST  BURKE GILMAN',,'EASTLAKE AVE NE','3800 Eastlake Ave',5.49,5.311,1,00EASTLAKE,0,47391000,122191300,3,3,4,4,14,1930,4,2,36000,2019,4,17.7,0,29,0,0,N,N,N,5,0,0,0,A,5,6,4,9,0,0,7,0,21.3,40.5,196.3,1.8,1.8,17.7,22.9,5.49,H,3.99,H,3.7,1.5,6,6,4,8,N,1,52.6,1,31.7,4,5,2,5,8,8,31,1,199.3,721,24,Y24,Y24,N  ,820,1120,,16219,3244,32438,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,5,0,,Y,8,45000,2039,,N,53,P,4,4495.27
0,0,,85278000,#N/A,47.65277778,-122.3202778,0,1,0,53,8.5278E+13,1,5,1,1140,0,1,33,63000,'PORTAGE BAY',,'EASTLAKE AVE NE','3200 EASTLAKE AVE',5.03,0.001,1,00EASTLAKE,0,47391000,122191300,3,3,4,4,14,1915,4,0,35000,2019,4,17.7,0,0,0,1,N,N,N,1,1,13.4,53.3,A,5,5,3,16,0,0,1,0,12.1,66.4,88.7,1.2,1.2,12.1,23.1,5.03,N,0,N,0,0,7,4,5,7,N,1,44.4,1,26.3,4,2,N,5,8,8,35,1,88.7,821,24,Y24,Y60,Y24,321,418,821,3492,50,25000,2020,,,               ,0,N,2,,1,0,1933,3,0,0,0,5,0,2,Y,8,45000,2039,,N,53,P,4,2048.97
1,0,,85279000,#N/A,47.65222222,-122.3208333,0,1,0,53,8.5279E+13,1,5,1,1140,0,1,33,63000,'PORTAGE BAY PL E',,'EASTLAKE AVE NE','3200 Eastlake Ave',99.99,5.472,1,00EASTLAKE,0,47390800,122191500,3,3,4,4,14,1930,4,1,36000,2019,4,17.7,0,0,0,0,N,N,N,5,0,0,0,A,5,6,4,9,0,0,3,0,21.3,30.5,61.3,1.8,1.8,17.7,22.9,99.99,H,3.45,H,1.2,0,6,5,5,8,N,1,52.6,1,31.7,5,5,3,5,8,8,35,1,61.3,721,24,Y24,Y60,N  ,820,418,,2412,482,4824,2014,,,               ,0,N,2,,1,0,0,1,6,0,0,5,0,1,Y,8,45000,2039,,N,53,F,5,1403.77
0,0,,85281000,#N/A,47.48555556,-122.2090833,0,1,0,53,8.5281E+13,1,5,1,21020,0,1,33,57745,'CEDAR RIVER',,'LOGAN AVE N','0.4 MI E JCT SR-167',99.99,0.001,1,420001060,0,47290800,122123270,2,3,4,4,14,1973,7,0,37000,2019,5,26.2,0,34,0,0,0,N,N,4,0,0,0,A,5,5,6,2,6,2,1,2,26.2,39.6,61,1.8,1.8,26.2,30.5,99.99,N,0,N,0,0,5,7,7,8,N,1,29.9,1,18.1,4,4,N,5,8,8,31,1,64,621,24,N  ,N  ,N  ,,,,8232,1646,16464,2014,,,               ,0,N,2,,1,0,0,1,1,0,0,14,0,,Y,5,45000,2039,,N,53,F,5,1860.5
0,0,,85283000,#N/A,47.6475,-122.3497222,0,1,0,53,8.5283E+13,1,5,1,1140,0,1,33,63000,'SHIP CANAL',,'FREMONT AVE N','3000 FREMONT AVE N',4.93,19.634,1,420004530i,0,47385100,122205900,3,3,4,4,14,1917,4,0,29300,2018,9,16.5,0,0,0,1,0,0,0,1,1,9.1,45.7,A,5,5,3,16,0,0,1,0,11.9,73.8,96.6,3.1,3.1,11.9,13.2,4.98,N,0,N,0,0,7,6,6,8,N,1,49.9,1,29.9,6,2,N,5,8,8,35,1,96.6,920,24,Y24,Y60,Y24,920,1119,1020,3550,710,7101,2014,,,               ,0,N,2,,1,0,0,3,0,0,0,10,0,3,Y,8,42800,2040,,N,53,F,6,1275.12
0,0,,85284000,#N/A,47.22470833,-122.4828,0,1,0,53,8.5284E+13,1,5,1,2983,0,3,53,70000,'NPRR &SOUTH TACOMA WAY',,'UNION AVENUE SOUTH','0.9 E JCT I-5&38TH',99.99,16.093,1,620001080i,0,47132895,122285808,2,3,4,4,14,1971,4,4,19265,2020,5,17.1,0,0,0,0,0,0,0,4,N,0,0,A,5,4,5,2,0,0,18,0,17.1,24.4,376.4,2,0,17.1,20.7,99.99,H,4.88,H,3,0,7,7,6,N,N,8,55.7,8,36.3,6,5,6,5,N,8,36,1,376.4,820,24,N  ,N  ,N  ,,,,14326,2865,28652,2014,,,               ,0,N,1,,1,0,0,1,1,0,0,5,0,,Y,N,34677,2042,,N,53,F,6,7791.48
0,0,,85297000,#N/A,47.57153889,-122.3447278,0,1,1,53,8.5297E+13,1,5,1,1140,0,1,33,63000,'E MARGINAL WAY S',,'SW SPOKANE ST','1200 SW Spokane St',5.23,0.161,1,099R102912,0,47341754,122204102,8,3,4,4,12,1983,1,2,10000,2020,5,7.9,0,99,1,1,1,1,1,4,N,0,0,A,1,4,6,2,0,0,31,0,7.9,39.6,1050,0,0,7.9,9.1,5.23,H,5.23,H,0.9,0,6,6,7,N,N,6,43.1,6,25.9,6,3,2,5,N,8,31,1,1053.1,321,24,N  ,N  ,N  ,,,,35932,7186,71864,2014,,,               ,0,N,1,,1,0,0,1,1,0,0,5,1,,Y,N,65000,2042,,N,53,F,6,9555
0,0,,85298000,#N/A,47.57150556,-122.3462694,0,1,0,53,8.5298E+13,1,5,1,1140,0,1,33,63000,'DUWAMISH RIVER E WATERWY',,'SW SPOKANE ST','800 SW Spokane St',99.99,109.435,1,7014820034,89,47341742,122204657,8,3,4,4,12,1975,5,0,8800,2018,5,17.4,0,14,0,1,1,1,1,4,0,0,0,A,5,5,5,4,0,0,6,0,19.8,26.8,147.8,0,2.4,17.4,21.6,99.99,N,0,N,0,0,8,6,7,8,N,1,65.3,1,39,6,2,N,5,6,8,35,1,147.8,721,24,N  ,Y60,N  ,,421,,5723,1145,11446,2014,,,               ,2,N,2,,1,0,0,1,1,0,1,35,0,,Y,8,13000,2040,,N,53,F,6,3192.48
0,0,,85300000,#N/A,47.57111111,-122.35,0,1,0,53,8.53E+13,1,5,7,1140,0,1,33,63000,'DELRIDGE WAY SW',,'SW SPOKANE ST','1200 SW Spokane St',5.18,210.985,0,,,47341600,122210000,8,3,4,4,12,1983,2,4,93180,2016,5,11,0,99,0,1,1,1,1,4,N,0,0,A,1,4,6,2,1,6,14,1,7.6,45.1,463.6,0,0,11,12.2,5.18,H,5.18,H,0.9,0,6,7,7,N,N,4,49.9,4,29.9,7,7,3,5,N,8,35,1,463.6,521,24,N  ,N  ,N  ,,,,61448,15362,76810,2041,,,               ,0,N,1,,1,0,0,1,1,0,0,10,0,,Y,N,144054,2036,,N,53,F,6,5655.92
0,0,,85301000,#N/A,47.57111111,-122.35,0,1,0,53,8.5301E+13,1,5,1,1140,0,1,33,63000,'DELRIDGE WAY SW',,'SW SPOKANE ST','1200 SW Spokane St',99.99,0.001,1,7014820034,89,47341600,122210000,8,3,4,4,12,1983,6,18,98700,2018,5,26.2,3,99,1,1,1,1,1,4,N,0,0,A,1,4,6,2,0,0,11,0,15.2,57.6,467.3,0,0,31.1,32.3,99.99,R,99.99,H,3,0,6,7,7,N,N,1,24.5,1,19,4,9,6,5,N,8,35,1,467.3,521,24,N  ,N  ,N  ,,,,64999,16249,81249,2041,,,               ,2,N,2,,1,0,0,1,1,0,0,10,0,,Y,N,145000,2041,,N,53,F,6,15093.79
0,0,,85302000,#N/A,47.57111111,-122.35,0,1,0,53,8.5302E+13,1,5,1,1140,0,1,33,63000,'DUWAMISH RIVER W WATERWY',,'SW SPOKANE ST','1200 SW Spokane St',99.99,0.001,1,420003400i,89,47341600,122210000,8,3,4,4,12,1983,6,0,108179,2016,5,32.3,3,99,0,1,N,N,N,4,1,42.7,38.1,K,1,5,2,5,0,0,3,0,15.2,179.8,408.4,0,0,30.5,32.3,99.99,N,0,N,0,0,6,2,7,8,N,1,0,1,0,0,9,N,0,8,8,35,2,408.4,521,24,N  ,Y60,Y24,,717,519,28944,5789,57888,2020,,,               ,3,N,2,,1,0,0,1,1,0,0,8,0,1,Y,8,170000,2040,,N,53,P,2,13191.32
0,0,,85306000,#N/A,47.57093333,-122.3504722,0,1,1,53,8.5306E+13,1,5,1,1140,0,1,33,63000,'E MARGINAL WAY S',,'SW SPOKANE ST','1200 SW Spokane St',99.99,211.468,1,420003400i,0,47341536,122210170,8,3,4,4,12,1983,5,8,10000,2020,5,23.2,3,99,1,1,1,N,N,4,N,0,0,A,1,8,6,2,3,3,18,1,11.6,47.2,300.5,0,0,20.1,21.3,99.99,R,7.32,H,0,0,6,5,6,8,N,6,50.5,6,30.5,5,4,2,5,8,8,31,1,303.6,321,24,N  ,Y60,N  ,,717,,29482,5896,58963,2014,,,               ,3,N,2,,1,0,0,1,1,0,0,20,1,,Y,8,60000,2041,,N,53,F,5,6400.65
0,0,,85315000,#N/A,45.81795,-122.7386333,0,1,0,53,8.5315E+13,1,5,1,0,0,4,11,58410,'GEE CREEK',,'DIVISION ST','0.25 E OF  N 5TH',99.99,0.001,0,,,45490462,122441908,159,3,4,4,9,1975,2,0,150,2016,5,6.1,0,0,0,0,0,0,0,4,0,0,0,A,5,5,7,2,0,0,1,0,7.4,7.6,9.1,0.3,0.3,6.8,7.9,99.99,N,0,N,0,0,6,6,5,6,N,1,64.4,1,45.4,5,4,N,5,8,3,31,1,12.2,1020,24,N  ,N  ,N  ,,,,608,122,1216,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,5,0,,Y,4,400,2040,,N,53,F,5,71.89
0,0,,85330000,#N/A,47.64222222,-122.3525,0,1,0,53,8.533E+13,1,5,1,1140,0,1,33,63000,'RAVINE',,'N QUEEN ANNE DR','Queen Anne Dr & 3rd Ave N',99.99,0.001,0,,,47383200,122210900,0,3,4,4,16,1935,2,0,125000,2020,4,9.8,0,43,0,0,0,0,0,1,N,0,0,A,5,0,4,11,4,3,1,5,9.8,42.7,99.7,1.5,1.5,9.8,13.7,99.99,N,0,N,0,0,6,5,7,N,N,1,66.2,1,39,5,4,N,5,N,8,35,1,99.7,420,24,Y24,N  ,N  ,620,,,2224,445,4447,2014,,,               ,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,N,15000,2039,,N,53,F,5,1365.89
0,0,,85332000,#N/A,48.94319444,-122.4691667,0,1,0,53,8.5332E+13,1,5,1,710,0,1,73,40805,'FISHTRAP CREEK',,'N 17TH STREET','AT LIBERTY',99.99,0.001,0,,,48563550,122280900,2,3,4,4,19,1975,2,0,1140,2018,5,12.2,0,0,0,0,0,0,0,4,0,0,0,P,1,5,1,19,0,0,3,0,12.2,2.4,7.9,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,5,0,43.5,0,25.4,5,N,N,2,8,8,31,1,15.2,121,24,N  ,N  ,N  ,,,,1300,200,1500,2020,,,               ,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,8,1500,2040,,N,53,F,5,96.38
0,0,,85334000,#N/A,48.93872222,-122.4791944,0,1,0,53,8.5334E+13,1,5,1,710,0,1,73,40805,'FISHTRAP CREEK',,'FRONT STREET','0.3 E SR539',99.99,0.001,0,,,48561940,122284510,5,3,4,4,16,1947,3,0,6187,2018,5,11,0,0,0,0,0,0,0,5,0,0,0,A,5,5,1,19,0,0,3,0,12.6,3,10.4,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,5,0,54.4,0,32.7,5,N,N,5,6,8,31,1,13.4,121,24,N  ,N  ,N  ,,,,880,176,1760,2014,,,               ,0,N,2,,0,0,0,N,N,N,N,10,0,,Y,8,8500,2040,,N,53,F,5,114.4
0,0,,85335000,#N/A,47.63993889,-122.3527417,0,1,0,53,8.5335E+13,1,5,1,1140,0,1,33,63000,'RAVINE',,'MCGRAW ST','McGRAW ST & 3RD AVE N',99.99,0.001,0,,,47382378,122210987,0,3,4,4,17,1935,2,0,3500,2018,5,9.8,0,0,0,0,0,0,0,5,N,0,0,P,5,0,1,11,2,1,1,4,12.8,42.7,72.5,1.5,1.5,9.8,13.7,99.99,N,0,N,0,0,6,6,6,N,N,1,20,1,11.8,3,4,N,1,N,8,35,1,72.5,521,24,N  ,N  ,N  ,,,,1618,324,3237,2014,,,               ,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,N,5200,2038,,N,53,F,6,993.25
0,0,,85337000,#N/A,46.6891,-122.9594,0,1,0,53,8.5337E+13,1,5,2,300,0,4,41,11475,'SALZER CREEK',,'N NATIONAL AVE','0.1 N OF NE HAMPE',99.99,2.092,1,500000650i,0,46412076,122573384,6,3,4,4,14,1936,2,0,8038,2018,2,11.3,0,0,0,0,0,0,1,5,0,0,0,A,1,5,2,1,0,0,8,0,10.7,5.5,47.2,0,0,10.4,11.3,99.99,N,0,N,0,0,5,6,5,4,N,0,22.7,0,13.6,3,5,N,5,2,8,38,1,47.2,620,24,N  ,N  ,N  ,,,,1209,242,2418,2014,,,               ,0,N,1,,1,0,1974,1,6,0,0,5,0,,Y,U,10252,2040,,N,53,F,5,533.36
0,0,,85338000,#N/A,46.69287222,-122.9553083,0,1,0,53,8.5338E+13,1,5,2,400,0,4,41,11475,'SALZER CREEK',,'NE KRESKY RD','0.4 N OF NE HAMPE',99.99,2.575,1,500000660i,0,46413434,122571911,6,3,4,4,14,1964,2,0,7372,2018,0,8.8,0,0,0,1,0,1,1,5,0,0,0,A,1,5,2,1,0,0,2,0,9.1,5.8,14,0,0,8.6,9.2,99.99,N,0,N,0,0,7,7,6,7,N,0,40.8,0,24.5,6,3,N,5,2,8,38,1,14,620,24,N  ,N  ,N  ,,,,285,57,570,2014,,,               ,0,N,1,,1,0,0,1,6,0,0,5,0,,Y,U,9374,2040,,N,53,F,6,128.8
0,0,,85340000,#N/A,47.63722222,-122.3122222,0,1,0,53,8.534E+13,1,5,1,1140,0,1,33,63000,'RAVINE',,'E BOSTON TERRACE','1660 E BOSTON TERRACE',99.99,0.001,0,,,47381400,122184400,0,3,4,4,19,1948,2,0,160,2019,0,4.9,0,0,0,0,N,N,N,4,N,0,0,P,5,0,2,1,0,0,16,0,6.4,4.9,75.6,0,1.5,4.9,6.8,99.99,N,0,N,0,0,7,7,6,N,N,1,20.9,1,12.7,4,2,N,0,N,6,35,1,75.6,721,24,N  ,N  ,N  ,,,,893,179,1786,2014,,,               ,0,N,1,,0,0,0,1,3,0,0,2,0,,Y,N,230,2039,,N,53,F,6,514.08
0,0,,85342000,#N/A,47.54777778,-122.3136111,0,1,0,53,8.5342E+13,1,5,1,1140,0,1,33,63000,'AIRPORT WAY S  RR',,'S ALBRO PL','S Albro Pl & Airport Way',99.99,0.001,0,,,47325200,122184900,2,3,4,4,16,1931,4,4,13000,2021,0,12.2,0,0,0,0,0,0,0,5,N,0,0,A,5,4,1,4,0,0,11,0,15.8,28.7,172.2,1.8,1.8,12.2,16.8,99.99,H,7.62,H,3,0,6,5,6,N,N,1,40.8,1,24.5,5,2,6,5,N,8,35,1,172.2,221,24,N  ,N  ,N  ,,,,12430,3108,15538,2031,,,               ,0,N,2,,0,0,0,1,6,0,0,10,0,,Y,N,26000,2040,,N,53,F,5,2892.96
1,0,,85347000,#N/A,45.64133333,-121.9782222,0,1,0,53,8.5347E+13,1,5,1,880,0,4,59,49555,'HAMILTON CR-GREENLEAF SL',,'EVERGREEN DRIVE','00.1 UPSTREAM SR 14',4.32,0.001,0,,,45382880,121584160,2,3,4,4,9,1924,2,0,230,2016,3,6.7,0,0,0,0,0,1,0,5,0,0,0,P,1,5,3,10,1,4,1,2,6.1,51.8,71.6,0,0,6.1,6.4,4.32,N,0,N,0,0,6,6,6,6,N,8,13.9,8,10.7,3,4,N,3,7,8,35,1,71.6,920,24,Y24,N  ,N  ,920,,,1128,226,2256,2014,,,               ,0,N,2,,0,0,0,1,6,0,0,30,0,,Y,7,250,2038,,N,53,F,6,458.24
0,0,,85352000,#N/A,47.55333333,-122.3188889,0,1,0,53,8.5352E+13,1,5,1,1140,0,1,33,63000,'RR TRACKS',,'S LUCILE ST','S Lucile St & Airport Way',99.99,0.001,0,,,47331200,122190800,3,3,4,4,16,1981,2,0,10511,2021,5,7.6,0,0,0,1,1,1,1,4,N,0,0,A,5,2,1,6,1,5,6,3,10.4,30.5,154.5,0,3,10.4,14.5,99.99,R,7.01,R,30.4,0,7,6,5,N,N,1,70.7,1,41.7,5,4,8,5,N,8,35,1,154.5,221,24,N  ,N  ,N  ,,,,2738,548,5476,2014,,,               ,0,N,2,,0,0,0,1,0,0,8,10,0,,Y,N,20000,2041,,N,53,F,5,2240.25
0,0,,85356000,#N/A,47.37715556,-122.3131222,0,1,0,53,8.5356E+13,1,5,1,325,0,1,33,17835,'MCSORLEY CREEK',,'16TH AVE S','0.1 MI S.OF S 250TH',99.99,0.001,0,,,47223776,122184724,3,3,4,4,16,1951,2,0,10000,2014,4,8.5,0,0,0,1,1,1,1,4,0,0,0,P,5,5,2,6,0,0,3,0,8.6,24.4,64.6,1.8,0.6,7.3,9.8,99.99,N,0,N,0,0,7,6,6,8,N,8,16.5,8,12.6,2,2,N,3,8,8,31,1,67.7,1020,24,N  ,N  ,N  ,,,,3374,675,6749,2014,,,               ,0,N,2,,0,0,2011,1,6,0,0,4,0,,Y,9,12000,2034,,N,53,F,6,633.08
0,0,,85358000,#N/A,47.55527778,-122.3222222,0,1,0,53,8.5358E+13,1,5,1,1140,0,1,33,63000,'ARGO RR Yard',,'Airport Way S','5200 Airport Way S',6.2,9.656,1,420003060i,0,47331900,122192000,5,3,4,4,14,1928,4,0,17000,2018,A,12.8,0,0,0,1,1,1,1,5,N,0,0,A,5,2,3,3,5,22,13,3,12.8,32.6,291.4,1.8,1.8,12.8,18,99.99,R,6.2,R,2.4,0,8,6,7,N,N,8,31.8,8,24.3,6,2,4,5,N,8,35,1,456.3,721,24,Y24,N  ,N  ,721,,,8413,1683,16826,2018,,,               ,0,N,2,,1,0,2012,9,3,8,8,20,0,,Y,N,21800,2038,,N,53,F,6,5245.2
0,0,,85375000,#N/A,48.76144722,-122.4207944,0,1,0,53,8.5375E+13,1,5,1,65201,0,1,73,5280,'WHATCOM CREEK',,'ELECTRIC AVENUE','0.11 S JCT ALABAMA ST',99.99,0.001,0,,,48454121,122251486,6,3,4,4,16,1959,2,0,8500,2021,2,11,0,0,0,0,0,0,0,5,0,0,0,A,5,5,1,22,0,0,3,0,9.1,5.8,17.4,0.2,1.1,7.4,9.1,99.99,N,0,N,0,0,5,5,4,7,N,6,37.9,6,22.7,4,2,N,5,8,8,31,1,20.4,521,24,N  ,N  ,N  ,,,,1018,204,2037,2014,,,               ,0,N,2,,0,0,0,9,6,0,0,5,0,,Y,8,10000,2043,,N,53,P,4,158.34
0,0,,85379000,#N/A,47.63333333,-122.3,0,1,0,53,8.5379E+13,1,5,1,1140,0,1,33,63000,'26TH AVE E',,'E INTERLAKEN BLVD','26TH AVE E & INTERLAKEN',99.99,0.001,0,,,47380000,122180000,3,3,4,4,19,1912,1,2,200,2019,0,9.1,0,0,0,0,N,N,N,5,N,0,0,P,5,1,1,11,0,0,1,0,8.7,12.5,18.6,2.5,3.4,3,9.8,99.99,H,3.33,H,3,0,N,6,6,N,N,1,22.7,1,12.7,4,2,2,0,N,3,31,1,18.6,721,24,N  ,N  ,N  ,,,,976,976,1952,2016,,,               ,0,N,3,,0,0,0,N,N,N,N,1,0,,Y,N,250,2039,,N,53,F,6,182.28
0,0,,85383000,#N/A,47.62801944,-122.2813,0,1,0,53,8.5383E+13,1,5,1,1140,0,1,33,63000,'RAVINE',,'MCGILVRA BLVD E','1000 McGILVRA BLVD E',99.99,0.001,0,,,47374087,122165268,0,3,4,4,17,1967,1,0,1200,2019,0,7.3,0,0,0,0,0,0,0,4,N,0,0,A,5,0,2,1,0,0,20,0,7.3,3,61.6,0,1.7,7.3,3.5,99.99,N,0,N,0,0,6,6,8,N,N,3,40.8,3,24.5,6,4,N,5,N,6,35,1,61,321,24,N  ,N  ,N  ,,,,273,27,410,2025,,,               ,0,N,1,,0,0,0,1,6,0,0,10,0,,Y,N,1500,2039,,N,53,F,6,215.6
0,0,,85394000,#N/A,46.95258333,-124.1349167,0,1,0,53,8.5394E+13,1,5,1,14,0,3,27,50570,'CANAL',,'MT OLYMPUS AVE','0.1 N DISCOVERY',99.99,0.001,0,,,46570930,124080570,10,3,4,4,9,1969,2,0,412,2019,2,7,0,0,0,0,0,0,0,4,0,0,0,P,5,5,7,2,0,0,5,0,6.9,9.8,40.2,1.2,1.2,6.9,9.9,99.99,N,0,N,0,0,6,7,5,8,N,2,30.8,2,20.9,5,4,N,2,8,6,35,1,40.2,921,24,N  ,Y60,N  ,,520,,660,132,1320,2014,,,               ,0,N,2,,0,0,0,8,6,0,0,7,0,,Y,8,581,2041,,N,53,F,5,397.98
0,0,,85399000,#N/A,47.37619444,-122.26575,0,1,0,53,8.5399E+13,1,5,1,615,0,1,33,35415,'UN NAMED STREAM',,'S FRAGGER ROAD','0.4 MI S JCT SR-516',99.99,0.001,0,,,47223430,122155670,6,3,4,4,19,1950,2,0,1600,2016,2,7.3,0,0,0,0,0,0,0,4,0,0,0,P,1,5,2,1,1,1,3,0,8.2,7.6,20.1,0.6,0.6,7.3,8.8,99.99,N,0,N,0,0,6,6,6,5,N,8,19.4,8,14.9,4,4,N,3,8,8,31,1,23.2,420,24,N  ,N  ,N  ,,,,1155,231,2310,2014,,,               ,0,N,2,,0,0,0,1,6,0,0,1,0,,Y,U,1950,2037,,N,53,F,6,176.88
0,0,,85402000,#N/A,48.76248611,-122.5074444,0,1,0,53,8.5402E+13,1,5,1,86603,0,1,73,5280,'SQUALLICUM CRK-CMSTP&P R',,'ELDRIDGE AVENUE','0.07 NW JCT MADRONA ST',99.99,0.001,0,,,48454495,122302680,5,3,4,4,16,1937,2,2,6400,2021,2,11,0,0,0,0,0,0,0,5,0,0,0,P,5,8,2,4,0,0,7,0,10.8,18.3,109.1,1.5,1.5,7.3,11.6,99.99,H,15.24,H,3,0,5,5,6,8,N,6,15.9,6,9.4,2,2,6,1,8,6,31,1,112.2,421,24,N  ,N  ,N  ,,,,5594,1119,11187,2014,,,               ,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,8,9000,2043,,N,53,F,5,1265.56
0,0,,85408000,#N/A,47.63348611,-122.3860861,0,1,0,53,8.5408E+13,1,5,1,1140,0,1,33,63000,'MARINA PL  RR  RAVINE',,'W GARFIELD ST','1700 W Garfield St',99.99,0.001,0,,,47380055,122230991,5,3,4,4,16,1929,3,2,20000,2017,0,11,0,0,1,0,0,0,0,5,0,0,0,A,5,8,2,9,2,3,15,50,12.8,26.5,916.8,0,1.8,11,15.4,99.99,R,6.71,R,3.7,0,5,5,5,8,N,3,38.1,3,22.7,5,2,5,5,8,6,31,1,916.8,720,24,N  ,Y60,N  ,,1120,,3000,1000,5000,2020,,,               ,0,N,2,,0,0,0,1,1,0,0,10,0,,Y,8,24000,2037,,N,53,F,5,14118.72
0,0,,85411000,#N/A,47.63333333,-122.4,0,1,0,53,8.5411E+13,1,5,1,1140,0,1,33,63000,'15TH AVE W',,'W GARFIELD ST','1600 15th Ave W',99.99,0.001,0,,,47380000,122240000,0,3,4,4,16,1957,1,7,18400,2018,5,10.7,0,0,0,0,0,0,0,4,N,0,0,A,1,1,3,3,5,2,1,19,6.1,29,273.4,0.8,0.8,6.1,7.6,99.99,H,5.18,H,1.2,0,6,7,7,N,N,1,30.8,1,18.1,4,2,4,5,N,8,31,1,332.8,521,24,N  ,N  ,N  ,,,,1509,150,2264,2020,,,               ,0,N,1,,0,0,0,1,1,0,0,10,0,,Y,N,22865,2040,,N,53,F,6,2077.84
0,0,,85415000,#N/A,48.76128889,-122.5085,0,1,0,53,8.5415E+13,1,5,1,86401,0,1,73,5280,'SQUALLICUM CREEK',,'ROEDER AVENUE','0.02 S JCT SQUALICUM WAY',99.99,0.001,0,,,48454064,122303060,2,3,4,4,16,1962,2,0,7200,2021,4,8.5,0,56,0,0,0,0,0,4,0,0,0,A,1,5,2,19,0,0,3,0,9.1,4.3,14,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,6,40.8,6,24.3,6,N,N,5,7,6,31,1,17.1,521,24,N  ,N  ,N  ,,,,851,170,1702,2014,,,               ,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,8,10000,2043,,N,53,F,6,119
0,0,,85417000,#N/A,47.212,-122.2422417,0,1,0,53,8.5417E+13,1,5,1,98430,0,3,53,68435,'WHITE RIVER',,'FRYAR AV','1.1 N JCT SR 410',99.99,0.001,0,,,47124320,122143207,5,3,4,4,17,1949,2,0,2056,2019,3,8.5,0,0,0,0,0,0,0,4,0,0,0,A,5,5,1,5,1,1,3,2,7.9,38.1,70.7,0.6,0.6,6.7,7.9,99.99,N,0,N,0,0,6,7,7,8,N,8,21.4,8,16.5,4,2,N,5,8,6,32,1,73.8,1021,24,N  ,N  ,N  ,,,,3678,736,7357,2014,,,               ,0,N,2,,0,0,1973,1,1,0,0,5,0,,Y,8,3400,2040,,N,53,F,6,558.53
0,0,,85423000,#N/A,47.46777778,-122.234,0,1,0,53,8.5423E+13,1,5,1,42020,0,1,33,57745,'SPRINGBROOK CREEK',,'SW GRADY WAY','0.7 MI E OF SR-181',99.99,2.494,1,,0,47280400,122140240,2,3,4,4,14,1987,5,0,28000,2019,5,17.7,0,10,0,N,N,N,N,4,0,0,0,A,5,5,1,19,0,0,5,0,19.7,3.4,18.6,2,0,0,0,99.99,N,0,N,0,0,N,N,N,8,6,6,62.2,6,37.3,6,N,N,5,8,8,31,1,21.6,621,24,N  ,N  ,N  ,,,,2102,420,4203,2014,,,               ,0,N,2,,1,0,0,N,N,N,N,14,0,,Y,8,40000,2039,,N,53,F,6,329.22
